ioc,country
ALG,Algeria
ARG,Argentina
ARM,Armenia
AUS,Australia
BOL, Bolivia
BEN, Benin
AUT,Austria
AZE,Azerbaijan
BAH,Bahamas
BAR,Barbados
BEL,Belgium
BIH,Bosnia and Herzegovina
BLR,Belarus
BRA,Brazil
BUL,Bulgaria
CAN,Canada
CHI,Chile
CHN,China
COL,Colombia
CRC,Costa Rica
CRO,Croatia
CYP,Cyprus
CZE,Czech Republic
DEN,Denmark
DOM,Dominican Republic
ECU,Ecuador
EGY,Egypt
ESA,El Salvador
ESP,Spain
EST,Estonia
FIN,Finland
FRA,France
GBR,United Kingdom
GEO,Georgia
GER,Germany
GRE,Greece
HKG,Hong Kong
HUN,Hungary
IND,India
IRL,Ireland
ISR,Israel
ITA,Italy
JPN,Japan
KAZ,Kazakhstan
KOR,South Korea
KUW,Kuwait
LAT,Latvia
LTU,Lithuania
LUX,Luxembourg
MAR,Morocco
MAS,Malaysia
MDA,Moldova
MEX,Mexico
MKD,North Macedonia
MON,Monaco
NED,Netherlands
NOR,Norway
NZL,New Zealand
PAK,Pakistan
PAR,Paraguay
PER,Peru
PHI,Philippines
POL,Poland
POR,Portugal
QAT,Qatar
ROU,Romania
RSA,South Africa
RUS,Russia
SLO,Slovenia
SRB,Serbia
SUI,Switzerland
SVK,Slovakia
SWE,Sweden
THA,Thailand
TOG,Togo
TPE,Taiwan
TUN,Tunisia
TUR,Turkey
UAE,United Arab Emirates
UKR,Ukraine
URU,Uruguay
USA,United States
UZB,Uzbekistan
VEN,Venezuela
VIE,Vietnam
ZIM,Zimbabwe
