tourney_name,tourney_city,tourney_country
's-Hertogenbosch,'s-Hertogenbosch,Netherlands
s-Hertogenbosch,'s-Hertogenbosch,Netherlands
Acapulco,Acapulco,Mexico
Adelaide,Adelaide,Australia
Amersfoort,Amersfoort,Netherlands
Amsterdam,Amsterdam,Netherlands
Athens Olympics,Athens,Greece
Atlanta,Atlanta,United States
Auckland,Auckland,New Zealand
Australian Open,Melbourne,Australia
Bangkok,Bangkok,Thailand
Sydney Olympics,Sydney,Australia
ATP Challenger Tour Finals CH,Sao Paulo,Brazil
Wrexham CH,Wrexham,United Kingdom
Barcelona,Barcelona,Spain
Basel,Basel,Switzerland
Bastad,Bastad,Sweden
Beijing,Beijing,China
Beijing Olympics,Beijing,China
Belgrade,Belgrade,Serbia
Bogota,Bogota,Colombia
Brighton,Brighton,United Kingdom
Brisbane,Brisbane,Australia
Bucharest,Bucharest,Romania
Buenos Aires,Buenos Aires,Argentina
Canada Masters,Toronto,Canada
Casablanca,Casablanca,Morocco
Challenger Tour Finals,Sao Paulo,Brazil
Chennai,Chennai,India
Cincinnati Masters,Cincinnati,United States
Copenhagen,Copenhagen,Denmark
Costa Do Sauipe,Costa do Sauipe,Brazil
Curitiba CH,Curitiba,Brazil
Delray Beach,Delray Beach,United States
Doha,Doha,Qatar
Dubai,Dubai,United Arab Emirates
Dusseldorf,Dusseldorf,Germany
Eastbourne,Eastbourne,United Kingdom
Estoril,Estoril,Portugal
Geneva,Geneva,Switzerland
Gstaad,Gstaad,Switzerland
Halle,Halle,Germany
Hamburg,Hamburg,Germany
Hamburg Masters,Hamburg,Germany
Ho Chi Minh City,Ho Chi Minh City,Vietnam
Hong Kong,Hong Kong,Hong Kong
Houston,Houston,United States
Indian Wells Masters,Indian Wells,United States
Indianapolis,Indianapolis,United States
Istanbul,Istanbul,Turkey
Johannesburg,Johannesburg,South Africa
Kitzbuhel,Kitzbuhel,Austria
Kuala Lumpur,Kuala Lumpur,Malaysia
Las Vegas,Las Vegas,United States
London,London,United Kingdom
London Olympics,London,United Kingdom
Long Island,Long Island,United States
Los Angeles,Los Angeles,United States
Lyon,Lyon,France
Madrid Masters,Madrid,Spain
Mallorca,Mallorca,Spain
Marseille,Marseille,France
Masters Cup,Various,Various
Memphis,Memphis,United States
Metz,Metz,France
Mexico City,Mexico City,Mexico
Miami Masters,Miami,United States
Milan,Milan,Italy
Monte Carlo Masters,Monte Carlo,Monaco
Montpellier,Montpellier,France
Moscow,Moscow,Russia
Mumbai,Mumbai,India
Munich,Munich,Germany
New Haven,New Haven,United States
Newport,Newport,United States
Nice,Nice,France
Nottingham,Nottingham,United Kingdom
Orlando,Orlando,United States
Palermo,Palermo,Italy
Paris Masters,Paris,France
Poertschach,Poertschach,Austria
Power Horse Cup,Hamburg,Germany
Queen's Club,London,United Kingdom
Quito,Quito,Ecuador
Rio de Janeiro,Rio de Janeiro,Brazil
Roland Garros,Paris,France
Rome Masters,Rome,Italy
Rotterdam,Rotterdam,Netherlands
San Jose,San Jose,United States
San Marino,San Marino,San Marino
Santiago,Santiago,Chile
Sao Paulo,Sao Paulo,Brazil
Scottsdale,Scottsdale,United States
Shanghai,Shanghai,China
Shanghai Masters,Shanghai,China
Shenzhen,Shenzhen,China
Sopot,Sopot,Poland
Sopot - WS,Sopot,Poland
St. Petersburg,St. Petersburg,Russia
St. Poelten,St. Poelten,Austria
Stockholm,Stockholm,Sweden
Stuttgart,Stuttgart,Germany
Stuttgart Masters,Stuttgart,Germany
Stuttgart Outdoor,Stuttgart,Germany
Sydney,Sydney,Australia
Tashkent,Tashkent,Uzbekistan
Tokyo,Tokyo,Japan
Toulouse,Toulouse,France
Tour Finals,Various,Various
US Open,New York,United States
Umag,Umag,Croatia
Valencia,Valencia,Spain
Vienna,Vienna,Austria
Vina del Mar,Vina del Mar,Chile
Viña del Mar,Vina del Mar,Chile
Warsaw,Warsaw,Poland
Washington,Washington,United States
Wimbledon,London,United Kingdom
Winston-Salem,Winston-Salem,United States
Zagreb,Zagreb,Croatia
