tourney_id,tourney_country,tourney_city,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_country,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_rank,winner_rank_points,loser_id,loser_country,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2009306,Austria,Kitzbuhel,Kitzbuhel,Clay,32,A,2009-05-17,19,103169,Spain,0.0,Main Draw,Oscar Hernandez,R,180.0,64.0,1014.0,104676,Germany,0.0,WC,Andreas Beck,L,190.0,61.0,1032.0,7-5 6-4,3,R16,128.0,6.0,5.0,77.0,47.0,35.0,16.0,11.0,7.0,8.0,4.0,1.0,76.0,47.0,32.0,14.0,11.0,9.0,12.0
2004520,France,Paris,Roland Garros,Clay,128,G,2004-05-24,20,103898,France,0.0,Main Draw,Julien Benneteau,R,185.0,92.0,447.0,103018,Belarus,29.0,Main Draw,Max Mirnyi,R,196.0,31.0,1045.0,7-5 7-5 1-6 6-3,5,R128,166.0,9.0,3.0,123.0,86.0,59.0,20.0,20.0,6.0,10.0,7.0,11.0,123.0,79.0,59.0,17.0,20.0,6.0,11.0
2002560,United States,New York,US Open,Hard,128,G,2002-08-26,83,102374,Spain,18.0,Main Draw,Alex Corretja,R,180.0,18.0,1490.0,102730,Switzerland,0.0,Q,Ivo Heuberger,R,188.0,128.0,326.0,7-5 6-2 6-1,5,R64,134.0,4.0,4.0,89.0,49.0,36.0,26.0,14.0,5.0,5.0,7.0,1.0,96.0,53.0,35.0,16.0,13.0,9.0,14.0
2012339,Australia,Brisbane,Brisbane,Hard,32,A,2012-01-01,21,103285,Czech Republic,6.0,Main Draw,Radek Stepanek,R,185.0,28.0,1275.0,103813,Finland,0.0,Main Draw,Jarkko Nieminen,L,185.0,77.0,666.0,7-6(3) 6-2,3,R16,89.0,3.0,0.0,63.0,39.0,26.0,15.0,10.0,3.0,5.0,3.0,1.0,66.0,39.0,22.0,14.0,10.0,0.0,4.0
20146710,Germany,Dusseldorf,Dusseldorf,Clay,28,A,2014-05-18,20,104338,Argentina,0.0,Main Draw,Juan Monaco,R,185.0,54.0,880.0,104719,Spain,2.0,Main Draw,Marcel Granollers,R,190.0,37.0,1080.0,6-1 6-2,3,R16,73.0,0.0,0.0,40.0,31.0,22.0,4.0,7.0,1.0,2.0,0.0,1.0,49.0,31.0,12.0,8.0,8.0,5.0,11.0
2005416,Italy,Rome,Rome Masters,Clay,64,M,2005-05-02,30,103428,Argentina,0.0,Main Draw,Juan Ignacio Chela,R,190.0,45.0,865.0,103566,France,0.0,Main Draw,Michael Llodra,L,190.0,51.0,756.0,6-4 6-4,3,R64,85.0,1.0,2.0,53.0,34.0,23.0,9.0,10.0,0.0,3.0,0.0,2.0,75.0,43.0,21.0,16.0,10.0,9.0,14.0
2014500,Germany,Halle,Halle,Grass,28,A,2014-06-09,4,105376,Germany,0.0,WC,Peter Gojowczyk,R,185.0,120.0,493.0,104308,Poland,0.0,Main Draw,Michal Przysiezny,R,185.0,112.0,512.0,7-5 6-4,3,R32,76.0,12.0,3.0,59.0,37.0,32.0,13.0,11.0,2.0,2.0,12.0,3.0,71.0,50.0,38.0,8.0,11.0,6.0,8.0
2003403,United States,Miami,Miami Masters,Hard,96,M,2003-03-17,94,101736,United States,2.0,Main Draw,Andre Agassi,R,180.0,2.0,4295.0,102610,Spain,9.0,Main Draw,Albert Costa,R,180.0,9.0,2015.0,6-2 6-4,3,SF,103.0,6.0,6.0,54.0,32.0,22.0,15.0,9.0,5.0,6.0,10.0,6.0,86.0,41.0,26.0,18.0,9.0,9.0,13.0
2015410,Monaco,Monte Carlo,Monte Carlo Masters,Clay,56,M,2015-04-12,7,106298,France,0.0,WC,Lucas Pouille,R,185.0,108.0,515.0,106233,Austria,0.0,Main Draw,Dominic Thiem,R,185.0,44.0,1030.0,6-4 6-4,3,R64,84.0,2.0,5.0,63.0,27.0,17.0,17.0,10.0,6.0,10.0,3.0,1.0,63.0,32.0,17.0,14.0,10.0,6.0,12.0
2002605,Various,Various,Masters Cup,Hard,8,F,2002-11-11,13,103507,Spain,0.0,Main Draw,Juan Carlos Ferrero,R,183.0,4.0,2340.0,102845,Spain,0.0,Main Draw,Carlos Moya,R,190.0,5.0,2330.0,6-7(6) 6-4 6-4,3,SF,137.0,3.0,5.0,102.0,61.0,47.0,22.0,16.0,6.0,7.0,9.0,4.0,99.0,64.0,46.0,19.0,16.0,5.0,8.0
